"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0027 - 2","59","271.48","412.71","72.45","93.44","349.5","450.75","1.43","1.32","0.12","0.07","1.25","1.57","1.48","1.84","601.2","600.6"
"ID0027 - 2","59.5","305.74","448.85","71.5","93.02","341.5","444.29","1.44","1.32","0.14","0.09","1.19","1.6","1.61","1.87","590.8","590.7"
"ID0062 - 1","60","216.6","378.24","70.15","74.85","351.5","375.04","1.53","1.48","0.29","0.27","1.76","2.02","1.8","2.11","878.4","878.3"
"ID0062 - 1","60","195.37","381.3","72.4","75.84","361.5","378.68","1.56","1.49","0.31","0.31","1.81","1.97","1.79","2.09","911.3","911"
"ID0062 - 1","60.5","238.33","394.41","70.7","74.56","359.5","379.11","1.37","1.35","0.28","0.28","1.67","1.91","1.7","2.09","899.2","899.2"
"ID0062 - 1","59.5","169.59","371.41","71.85","71.26","350","347.11","1.51","1.43","0.27","0.31","1.63","1.97","1.72","2.12","1016.7","1018"
"ID0062 - 2","59.5","207.49","424.41","65.6","77.34","341","402.01","1.45","1.37","0.21","0.24","1.64","2.2","1.74","2.05","719.5","719.2"
"ID0062 - 2","59.5","199.77","385.61","66.3","71.02","351","375.97","1.5","1.39","0.24","0.26","1.94","2.39","1.75","2.12","871.6","871.7"
"ID0062 - 2","60","222.43","396.54","68.05","74.75","360","395.44","1.5","1.39","0.26","0.27","1.88","2.35","1.78","2.1","828.8","829.6"
"ID0062 - 2","60","208.84","398.11","68.55","74.56","362.5","394.3","1.52","1.39","0.28","0.3","1.89","2.4","1.76","2.11","845.2","844.8"
"ID0179 - 1","57","226.27","369.21","78","86.09","355.5","392.39","1.17","0.96","0.29","0.3","0.97","1.3","1.79","1.89","820.8","820.7"
"ID0179 - 1","56.5","212.81","377.07","83.85","94.66","344","388.36","1.17","0.96","0.27","0.31","0.9","1.27","1.76","1.94","784.6","785.3"
"ID0179 - 1","57","216.67","371.67","81","90","366.5","407.22","1.17","0.97","0.28","0.3","0.93","1.28","1.75","1.87","810","808.5"
"ID0179 - 1","57","215.12","373.1","86","96.36","283","317.08","1.17","0.97","0.28","0.3","0.96","1.22","1.76","1.87","796.6","798.7"
"ID0179 - 2","56.5","231.37","391.26","78.1","94.61","260.5","315.55","1.17","0.95","0.23","0.25","0.86","1.29","1.73","1.89","681.5","681"
"ID0179 - 2","56.5","240.78","387.86","80.8","95.84","256.5","304.24","1.17","0.96","0.24","0.25","0.8","1.24","1.76","1.84","710.8","711.6"
"ID0179 - 2","57","210.45","376.14","78.2","90.92","271","315.09","1.17","0.96","0.23","0.26","1","1.25","1.7","1.82","739.7","740.5"
"ID0179 - 2","56.5","204.89","368.35","80.15","90.98","283","321.24","1.16","0.95","0.24","0.27","1.13","1.3","1.75","1.81","776.1","775.8"
"ID0001 - 1","66","202.45","369.06","73.65","87.97","334","398.92","1.34","1.55","0.21","0.23","0.77","1.35","1.68","1.66","701","702.3"
"ID0001 - 1","66","242.41","399","75.15","94.14","334.5","419.04","1.38","1.6","0.25","0.25","0.87","1.4","1.72","1.69","637.2","637.3"
"ID0001 - 1","65","195.65","381","74.7","90.49","342","414.31","1.32","1.53","0.24","0.29","0.88","1.4","1.74","1.74","681.4","681"
"ID0001 - 1","65","206.88","381.01","77.05","93.49","344.5","418.01","1.35","1.55","0.26","0.3","0.86","1.45","1.75","1.66","679.2","678.8"
"ID0001 - 2","65","196.68","365.76","80.85","92.99","359","412.92","1.27","1.47","0.29","0.32","1","1.46","1.78","1.81","755.9","755.6"
"ID0001 - 2","66.5","206.09","374.34","78.9","91.87","341","397.05","1.27","1.47","0.26","0.29","0.77","1.42","1.77","1.62","737.6","735.7"
"ID0001 - 2","65","201.37","375.31","79.1","92.34","348","406.25","1.26","1.46","0.25","0.3","0.92","1.4","1.77","1.74","733.8","733.3"
"ID0001 - 2","65","228.19","386.77","80.95","97.99","340","411.58","1.28","1.48","0.28","0.31","0.87","1.37","1.8","1.71","682.4","682.2"
"ID0017 - 1","55","258.5","413.14","70.35","82.1","382.5","446.4","1.16","0.91","0.17","0.12","0.61","0.96","1.64","1.85","734.2","734.4"
"ID0017 - 1","54.5","245.41","408.21","73.4","87.87","364.5","436.35","1.15","0.9","0.17","0.11","0.57","1.04","1.63","1.79","697.8","697.5"
"ID0017 - 1","55","260.9","434.84","70.75","86.66","360.5","441.58","1.16","0.9","0.15","0.11","0.55","0.94","1.65","1.81","666.5","666.7"
"ID0017 - 1","53","226.2","411.55","69.05","84.2","346","421.92","1.18","0.95","0.14","0.08","0.54","0.95","1.71","1.74","672.5","672.7"
"ID0017 - 2","54.5","260.61","411.39","72","85.48","359.5","426.83","1.16","0.92","0.14","0.09","0.67","1.11","1.57","1.79","709.4","710.1"
"ID0017 - 2","55","232.8","410.24","70.05","83.42","357.5","425.72","1.16","0.91","0.14","0.11","0.6","1.05","1.6","1.73","705.2","704.9"
"ID0017 - 2","54.5","229.43","412.97","75.65","89.01","381.5","448.85","1.16","0.91","0.15","0.13","0.66","1.08","1.6","1.81","722.4","722.4"
"ID0017 - 2","54.5","234.59","407.21","73","84.57","362","419.37","1.15","0.9","0.15","0.12","0.59","1.07","1.61","1.74","745.1","744.8"
"ID0159 - 1","58","137.26","456.94","82.2","96.43","253","296.81","0.89","0.61","0.07","0.03","1.81","2.05","1.35","1.98","726.6","726.4"
"ID0159 - 1","74.5","167.01","490.66","84.2","96.98","255","293.71","0.87","0.59","0.09","0.02","1.9","2.08","1.31","1.95","753.8","754.6"
"ID0159 - 1","57.5","142.69","463.59","83.7","100.78","396.5","477.43","0.87","0.58","0.11","0.03","1.73","2.24","1.32","1.92","689.7","689.2"
"ID0159 - 1","57","140.22","466.98","82","102.66","392","490.77","0.87","0.6","0.12","0.02","1.82","2.27","1.29","1.87","638","637.7"
"ID0159 - 2","76.5","172.01","496.53","85.1","100.61","259","306.19","0.91","0.62","0.09","0.03","1.81","1.95","1.37","1.92","715.5","715.3"
"ID0159 - 2","59.5","118.5","432.18","85.4","99.22","255","296.25","0.9","0.61","0.09","0.03","1.69","1.96","1.35","1.99","740.9","740.8"
"ID0159 - 2","77","138.57","464.15","86.6","97.56","267","300.8","0.9","0.61","0.09","0.03","1.78","2","1.33","1.98","787.9","788"
"ID0159 - 2","58.5","132.28","440.93","85.65","98.09","261.5","299.49","0.91","0.61","0.09","0.03","1.7","1.92","1.34","1.97","762.4","761.9"
"ID0026 - 1","58.5","253.85","403.31","76.2","90.39","263.5","312.56","1.17","0.87","0.2","0.18","1.93","1.81","1.78","1.82","710.7","711"
"ID0026 - 1","58.5","275.5","403.01","76","88.91","263","307.67","1.15","0.85","0.23","0.19","1.82","1.79","1.74","1.87","730.7","731.3"
"ID0026 - 1","58","264.43","405.46","77","90.49","264","310.27","1.15","0.85","0.23","0.2","1.75","1.71","1.76","1.87","724","724"
"ID0026 - 1","58","269.27","412.33","78.2","94.01","257","308.94","1.19","0.88","0.22","0.2","1.45","1.6","1.77","1.85","692","693"
"ID0026 - 2","56.5","273.02","423.98","69.65","89.49","394","506.21","1.22","0.91","0.16","0.13","1.71","1.82","1.67","1.76","605.8","605.7"
"ID0026 - 2","58.5","266.57","408.41","71.25","87.12","257","314.26","1.15","0.85","0.19","0.16","1.83","1.9","1.74","1.84","668.8","668.8"
"ID0026 - 2","57.5","263.24","410.43","72.5","88.56","255","311.49","1.16","0.87","0.19","0.17","1.71","1.75","1.73","1.82","670.2","670.5"
"ID0026 - 2","58.5","261.88","405.76","73.3","88.26","259.5","312.45","1.17","0.87","0.2","0.18","1.68","1.75","1.74","1.81","689.8","689"
"ID0065 - 1","67.5","231.34","426.83","71.45","80.04","284","318.16","0.99","0.78","0.17","0.2","1.5","2.12","1.76","2.21","796.8","797.2"
"ID0065 - 1","68","219.36","417.99","72.1","78.69","292.5","319.22","1","0.79","0.18","0.22","1.53","2.09","1.76","2.19","839.6","838.7"
"ID0065 - 1","68","220.08","416.13","90.6","98.95","384","419.4","0.99","0.77","0.19","0.2","1.47","2.57","1.7","1.69","838.3","838.5"
"ID0065 - 1","68.5","271.57","429.02","79.85","87.62","370","405.98","0.98","0.77","0.19","0.22","1.04","2.19","1.85","1.48","830.6","831"
"ID0065 - 2","69","225.02","426.39","71","78.13","289","318.01","0.97","0.75","0.15","0.19","1.52","2.12","1.74","2.22","825.9","826.5"
"ID0065 - 2","68","213.53","415.2","71.4","77","292","314.91","0.98","0.75","0.17","0.19","1.59","2.15","1.72","2.25","859.8","860.6"
"ID0065 - 2","67.5","258.6","427.13","72.85","80.51","285.5","315.51","0.98","0.75","0.18","0.19","1.6","1.96","1.77","2.21","818.8","817.4"
"ID0065 - 2","68.5","231.25","422.04","70.5","77.08","395.5","432.43","0.99","0.75","0.17","0.18","1.58","2.24","1.74","2.25","836.5","837.7"
"ID0151 - 1","58.5","198.27","398.48","66","63.99","314.5","304.92","1.26","1.05","0.44","0.38","2.03","2.55","1.71","2.18","1063.8","1063.8"
"ID0151 - 1","58.5","207.88","404.98","65.8","64.52","312","305.94","1.25","1.04","0.44","0.37","1.91","2.44","1.7","2.18","1040","1040.2"
"ID0151 - 1","58","208.43","406.13","66","64.43","306.5","299.23","1.24","1.03","0.43","0.36","1.91","2.38","1.69","2.17","1049.2","1049.6"
"ID0151 - 1","58","216.61","409.22","66.2","64.89","317.5","311.2","1.24","1.03","0.41","0.34","1.9","2.44","1.67","2.19","1040.9","1040.7"
"ID0151 - 2","58","216.54","423.96","60.6","61.46","320.5","325.07","1.24","1.03","0.35","0.28","1.91","2.65","1.64","2.09","972.1","972"
"ID0151 - 2","59","206.11","404.81","64.9","64.16","314","310.4","1.26","1.04","0.41","0.36","2","2.57","1.72","2.17","1023.3","1023.8"
"ID0151 - 2","58.5","216.05","408.87","67.05","66.3","328","324.32","1.26","1.05","0.42","0.36","1.92","2.48","1.76","2.22","1022.8","1022.7"
"ID0151 - 2","58.5","214.52","415.48","66.2","66.52","347","348.66","1.23","1.02","0.39","0.33","1.94","2.45","1.71","2.24","990.5","990.4"
"ID0056 - 1","56.5","190.56","384.83","62.5","77.34","372.5","460.93","0.82","0.88","0.13","0.1","1.33","2.16","1.59","1.78","653.1","653.3"
